model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch,0.9583333333333334,accuracy,0.004607677459716797,1.7092993259429932,0.004607677459716797,1.7092993259429932,1,True,5
WeightedEnsemble_L2,0.9583333333333334,accuracy,0.005395412445068359,1.7405056953430176,0.0007877349853515625,0.031206369400024414,2,True,6
RandomForestGini,0.9166666666666666,accuracy,0.07872486114501953,0.8736505508422852,0.07872486114501953,0.8736505508422852,1,True,1
ExtraTreesEntr,0.9166666666666666,accuracy,0.07951116561889648,0.7680337429046631,0.07951116561889648,0.7680337429046631,1,True,4
ExtraTreesGini,0.9166666666666666,accuracy,0.0808863639831543,0.7578089237213135,0.0808863639831543,0.7578089237213135,1,True,3
RandomForestEntr,0.9166666666666666,accuracy,0.08312535285949707,0.8485443592071533,0.08312535285949707,0.8485443592071533,1,True,2
